Phone_ID,Brand,Model,Release_Year,Price_USD,Price_INR,RAM_GB,Storage_GB,Processor,Chipset,GPU,Battery_mAh,Charging_Watts,Wireless_Charging,Display_Size_Inches,Resolution,Refresh_Rate_Hz,Display_Type,Rear_Camera_MP,Front_Camera_MP,Number_of_Rear_Cameras,Video_Recording,Operating_System,OS_Version,SIM_Type,Has_5G,Has_NFC,Bluetooth_Version,WiFi_Standard,Fingerprint_Type,Water_Resistance,Weight_Grams,Color,User_Rating,Number_of_Reviews
PH-770487,Samsung,Galaxy S24,2024,207,17181,6,64,Snapdragon 4 Gen 2,Snapdragon 4 Gen 2,Mali-G57 MC2,3285,10,No,6.5,720x1600,60,IPS LCD,108,12,4,1080p@30fps,Android,15,Dual SIM (Nano-SIM),Yes,No,5.0,Wi-Fi 6,None,IP67,180,Midnight,3.9,10199
PH-325772,Samsung,Galaxy A15,2022,241,20003,6,64,Snapdragon 4 Gen 2,Unisoc T760,Adreno 619,3704,45,No,6.2,720x1600,60,AMOLED,12,8,2,4K@30fps,Android,13,Dual SIM,No,No,5.3,Wi-Fi 6E,None,IP67,204,Blue,3.9,24270
PH-472528,Samsung,Galaxy A15,2024,168,13944,8,256,Unisoc T760,Helio G99,Adreno 619,4247,18,No,6.4,720x1600,60,IPS LCD,12,16,2,4K@30fps,Android,13,Dual SIM (Nano-SIM),No,No,5.1,Wi-Fi 7,None,IP68,185,Blue,3.8,17369
PH-246413,Samsung,Galaxy S24 Ultra,2024,259,21497,6,256,Snapdragon 4 Gen 2,Helio G99,Mali-G57 MC2,4195,33,No,6.3,720x1600,60,AMOLED,64,20,4,4K@30fps,Android,13,Dual SIM,No,No,5.4,Wi-Fi 6E,Rear-mounted,IP52,207,Midnight,3.8,28502
PH-265840,Samsung,Galaxy A15,2024,278,23074,8,128,Unisoc T760,Helio G99,Mali-G57 MC2,3365,45,No,6.7,720x1600,60,AMOLED,108,8,4,4K@30fps,Android,13,Dual SIM (Nano-SIM),Yes,No,5.2,Wi-Fi 6,Side-mounted,IP54,194,Titanium,4.1,5171
PH-189814,Samsung,Galaxy A15,2024,271,22493,4,64,MediaTek Helio G99,Snapdragon 695,Mali-G57 MC3,4125,18,No,6.2,1080x2400,60,AMOLED,108,20,2,1080p@30fps,Android,14,Dual SIM,Yes,No,5.4,Wi-Fi 6,Under-display,IP52,202,White,4.2,46399
PH-761759,Samsung,Galaxy S23,2022,168,13944,4,128,Unisoc T760,Unisoc T760,Mali-G57 MC3,4052,18,No,6.2,1080x2400,60,IPS LCD,64,12,2,4K@30fps,Android,14,Dual SIM (Nano-SIM/eSIM),No,No,5.3,Wi-Fi 5,Side-mounted,IP52,188,Purple,3.9,47734
PH-455784,Samsung,Galaxy S24,2022,264,21912,4,256,MediaTek Dimensity 700,Unisoc T760,Adreno 610,3287,33,No,6.1,720x1600,60,IPS LCD,12,12,2,4K@30fps,Android,14,Single SIM,No,No,5.3,Wi-Fi 5,Under-display,IP68,190,Black,4.1,25596
PH-378085,Samsung,Galaxy S24 Ultra,2023,274,22742,8,256,Snapdragon 695,Snapdragon 4 Gen 2,Adreno 610,3317,18,No,6.2,720x1600,60,AMOLED,12,8,2,1080p@30fps,Android,13,Single SIM,No,No,5.3,Wi-Fi 5,Under-display,None,212,Titanium,4.0,2614
PH-749468,Samsung,Galaxy A25,2024,230,19090,8,256,Snapdragon 695,Dimensity 700,Adreno 619,3534,18,No,6.5,720x1600,60,IPS LCD,64,8,2,4K@30fps,Android,14,Dual SIM,No,No,5.1,Wi-Fi 6E,Rear-mounted,IP54,190,Green,3.7,35610
PH-837715,Samsung,Galaxy S23,2024,226,18758,8,64,Unisoc T760,Helio G99,Adreno 619,4358,10,No,6.8,720x1600,60,AMOLED,50,12,4,4K@30fps,Android,13,Dual SIM,No,No,5.3,Wi-Fi 6E,Side-mounted,IP52,191,Graphite,3.6,8583
PH-768061,Samsung,Galaxy S23,2024,259,21497,6,256,Unisoc T760,Unisoc T760,Mali-G57 MC2,4148,10,No,6.1,720x1600,60,AMOLED,12,16,2,1080p@30fps,Android,13,Single SIM,Yes,No,5.0,Wi-Fi 6E,None,None,184,Red,3.9,10138
PH-348237,Samsung,Galaxy S24,2023,235,19505,4,64,MediaTek Dimensity 700,Helio G99,Mali-G57 MC2,3843,18,No,6.2,1080x2400,60,AMOLED,50,12,2,1080p@30fps,Android,14,Dual SIM (Nano-SIM),Yes,No,5.0,Wi-Fi 6E,Rear-mounted,None,181,Purple,3.8,44542
PH-984642,Samsung,Galaxy S23,2022,217,18011,6,64,Snapdragon 4 Gen 2,Dimensity 700,Mali-G57 MC1,3078,10,No,6.5,1080x2400,60,IPS LCD,12,20,2,1080p@30fps,Android,14,Dual SIM,No,No,5.2,Wi-Fi 6E,Side-mounted,IP67,195,Gold,3.8,20279
PH-799287,Samsung,Galaxy S24,2023,182,15106,8,128,Unisoc T760,Unisoc T760,Adreno 619,3392,33,No,6.5,720x1600,60,AMOLED,50,16,2,4K@30fps,Android,14,Dual SIM (Nano-SIM/eSIM),No,No,5.1,Wi-Fi 7,Under-display,IP52,218,Midnight,4.0,33790
PH-796101,Samsung,Galaxy Z Fold5,2022,207,17181,8,128,MediaTek Dimensity 700,Dimensity 700,Mali-G57 MC1,3407,18,No,6.0,1080x2400,60,IPS LCD,64,20,2,1080p@30fps,Android,13,Dual SIM (Nano-SIM/eSIM),No,No,5.1,Wi-Fi 6,None,IP52,205,Gold,3.9,16341
PH-989545,Samsung,Galaxy S23,2022,231,19173,6,256,MediaTek Dimensity 700,Helio G99,Mali-G57 MC3,3906,45,No,6.7,1080x2400,60,AMOLED,48,16,4,1080p@30fps,Android,14,Dual SIM,Yes,No,5.2,Wi-Fi 6,Rear-mounted,IP67,202,Graphite,4.1,35409
