Phone_ID,Brand,Model,Release_Year,Price_USD,Price_INR,RAM_GB,Storage_GB,Processor,Chipset,GPU,Battery_mAh,Charging_Watts,Wireless_Charging,Display_Size_Inches,Resolution,Refresh_Rate_Hz,Display_Type,Rear_Camera_MP,Front_Camera_MP,Number_of_Rear_Cameras,Video_Recording,Operating_System,OS_Version,SIM_Type,Has_5G,Has_NFC,Bluetooth_Version,WiFi_Standard,Fingerprint_Type,Water_Resistance,Weight_Grams,Color,User_Rating,Number_of_Reviews
PH-312886,Asus,ROG Phone 8,2023,252,20916,4,128,Snapdragon 695,Snapdragon 695,Adreno 619,3695,10,No,6.1,1080x2400,60,AMOLED,12,16,2,1080p@30fps,Android,14,Dual SIM,No,No,5.0,Wi-Fi 5,Under-display,IP68,205,Titanium,3.6,4094
PH-656029,Asus,Zenfone 11 Ultra,2024,217,18011,8,64,MediaTek Dimensity 700,Snapdragon 695,Mali-G57 MC1,3135,45,No,6.3,720x1600,60,IPS LCD,12,12,2,1080p@30fps,Android,15,Dual SIM,No,No,5.2,Wi-Fi 6,Under-display,IP52,204,Graphite,3.6,46702
PH-894320,Asus,ROG Phone 7 Ultimate,2022,224,18592,6,64,Snapdragon 4 Gen 2,Unisoc T760,Adreno 619,3000,18,No,6.8,1080x2400,60,AMOLED,48,12,4,4K@30fps,Android,13,Single SIM,No,No,5.4,Wi-Fi 7,Side-mounted,IP52,220,Gray,4.1,2129
PH-493005,Asus,ROG Phone 7,2022,232,19256,4,128,MediaTek Dimensity 700,Snapdragon 695,Mali-G57 MC3,3410,22,No,6.6,1080x2400,60,AMOLED,50,12,3,1080p@30fps,Android,13,Dual SIM (Nano-SIM),Yes,No,5.0,Wi-Fi 6,Under-display,IP67,195,Purple,4.1,29665
PH-600917,Asus,ROG Phone 7 Ultimate,2023,207,17181,8,256,Snapdragon 695,Snapdragon 4 Gen 2,Mali-G57 MC1,4447,18,No,6.1,720x1600,60,AMOLED,50,20,3,4K@30fps,Android,13,Dual SIM (Nano-SIM/eSIM),No,No,5.2,Wi-Fi 7,Rear-mounted,IP54,198,Purple,3.8,11556
PH-136028,Asus,Zenfone 10,2022,169,14027,8,64,MediaTek Dimensity 700,Helio G99,Mali-G57 MC3,3525,18,No,6.2,720x1600,60,IPS LCD,50,20,2,4K@30fps,Android,15,Dual SIM,Yes,No,5.1,Wi-Fi 6,None,IP68,210,Silver,3.5,41446
PH-720452,Asus,Zenfone 11 Ultra,2023,259,21497,8,256,Snapdragon 4 Gen 2,Dimensity 700,Adreno 619,4245,10,No,6.6,720x1600,60,AMOLED,108,12,2,1080p@30fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,No,5.2,Wi-Fi 5,Under-display,None,203,Blue,4.0,16001
PH-180461,Asus,Zenfone 11 Ultra,2022,240,19920,4,64,MediaTek Helio G99,Snapdragon 4 Gen 2,Adreno 610,4422,45,No,6.0,720x1600,60,AMOLED,48,16,2,1080p@30fps,Android,15,Dual SIM,Yes,No,5.2,Wi-Fi 6E,None,None,179,Green,3.9,39491
PH-471733,Asus,ROG Phone 8,2022,251,20833,8,128,Snapdragon 4 Gen 2,Unisoc T760,Adreno 619,3688,22,No,6.7,1080x2400,60,AMOLED,50,20,2,4K@30fps,Android,13,Single SIM,No,No,5.1,Wi-Fi 6E,Side-mounted,IP68,185,Gray,4.0,1692
PH-658210,Asus,Zenfone 10,2024,229,19007,8,256,Unisoc T760,Unisoc T760,Adreno 610,3667,18,No,6.7,1080x2400,60,IPS LCD,48,20,3,4K@30fps,Android,13,Dual SIM (Nano-SIM),Yes,No,5.1,Wi-Fi 6E,Under-display,IP67,205,Red,3.8,1268
